id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,2.8369473037692313e-249,5.423516101689406e-75,7.117534605520594e-68,4.0884911088244764e-57,0.0,0.0,6.794892139703082e-51,6.639601210415095e-146,6.704422638841715e-123,1.2498632067646761e-130,1.1576657546397161e-32,1.8317718229408096e-114,3.62835205686082e-30,1.855721817782836e-46,1.7166766094647927e-59,4.214989915929827e-90,3.176292546329702e-132,1.1220970378910278e-127,5.1111801082225886e-76,5.682188055514121e-52,5.473700357084569e-96,3.576445781660335e-160,7.823096745535126e-54,3.2402067582905364e-149,1.848417759010165e-106,1.0898353836952999e-111,4.983042555785229e-12,2.158514344698542e-65,1.1300350856470351e-13,5.497122482764556e-39,2.434464393678546e-14,0.9999999999944365,1.0059386374006178e-73,4.3258184159566606e-76,1.0227206796414482e-36,1.6031195112527407e-269,2.0837494493408526e-39,2.289073997374293e-127,7.936061489642709e-60,4.490861169665983e-121,4.6175026810002255e-71,5.91458726129672e-23,2.3748865145071385e-56,1.3754468447754802e-69,1.699562641371028e-70,1.1839059644467583e-74,2.3606093305294735e-36,5.9936041270661255e-22,3.8976534488282637e-25,1.4058447499805932e-42,2.8923645372047394e-24,3.3948091116247287e-60,2.1626565877449943e-81,1.4713722127276688e-134,1.9603555611480522e-57,1.4086723331004762e-37,4.988386155459933e-60,6.055553905372224e-60,2.991902369586528e-53,4.7995852817946466e-186,1.0192761971542939e-45,5.049382578526007e-118,2.3545203021729604e-78,1.5249766769391564e-98,2.8409318234855882e-36,9.929134640055223e-57,1.100259554515594e-119,1.2656491354952964e-68,2.6053031485606322e-18,1.8302495761970358e-28,3.225279282474287e-54,2.805437113419604e-187,3.413628150567466e-89,2.1083078094529526e-44,1.278925308554703e-50,1.5289922669662282e-123,5.6550697405315595e-83,3.418632263278327e-92,2.055410857772741e-56,7.660746577828798e-55,6.343373896801965e-120,1.7762437911150967e-47,3.84507794740493e-145,3.828434947775714e-31,3.65399659494162e-57,7.948182067032674e-38,6.011130761887557e-77,9.130333129061328e-49,4.440318751452169e-13,1.2682139120264774e-51,3.6672750766665977e-69,3.2613076702913183e-80,6.303850265695393e-46,1.366789331864478e-83,5.50119705483102e-82,1.1492531977268633e-105,9.470375262561996e-25,2.5602612757195087e-58,1.9273114723308295e-80
7,9.600540692607528e-224,3.639042680674394e-86,1.5379428124451642e-58,7.36277377635328e-42,0.0,0.0,1.4323516521470377e-36,3.604841956115851e-129,1.0099667430918006e-138,4.61889584615933e-83,4.876218109117722e-83,2.489788192324206e-60,7.703359352747786e-23,1.2551835753788728e-24,5.268667359020217e-39,2.0048567230064514e-79,8.157306242094418e-90,1.285480259210106e-100,4.02953093868713e-69,2.5885059936457888e-15,3.159990529243872e-61,0.0,1.4391762199110839e-27,5.2020129384322964e-135,1.026355944524047e-102,3.778812484275942e-171,3.3192297130789635e-35,3.0802731269916476e-59,0.006411713514425038,3.940586751744653e-20,3.4868840583146196e-11,0.2163173498572134,1.0383344095868898e-107,1.0428864869147975e-103,4.554631493943249e-19,2.456394692879459e-295,3.2252081232988954e-39,2.831024176772695e-137,2.1631322814408e-66,1.4548796065731225e-127,1.619376941529186e-91,1.296959615615261e-21,1.6326963884734185e-53,2.038359126106277e-43,2.5319573730105876e-62,5.101417997872639e-72,3.574204517142295e-33,0.776103661571417,1.094529023571617e-12,1.0727970666369655e-18,0.0005280494286909577,1.4027177912613264e-36,1.2624724723331733e-35,4.5910252325441084e-86,3.894170871117091e-21,8.682618591326326e-07,9.534191669482974e-26,1.6345538218766012e-50,6.7606298775006635e-49,6.843418563029136e-125,4.42118583825914e-41,2.625828515499042e-107,9.739748899431918e-60,2.393300606724274e-80,4.9406550645201205e-21,1.0780692929012285e-47,1.0838688125679571e-66,1.4153640245956282e-49,2.688822381158934e-08,0.0006383163474587247,4.279906202084573e-34,8.362055035454794e-150,1.378102590057641e-63,8.775749906956349e-16,1.6045663897734622e-21,8.881174158438273e-86,7.976679794077987e-66,2.1787438966129355e-88,5.134596925763141e-41,2.367525917966344e-51,2.0949848172065667e-83,9.079844487054065e-24,8.227699676331537e-81,4.140300695678247e-17,1.9666502611467274e-26,2.642956430052638e-36,1.6974085096718642e-15,5.1628273315079845e-19,1.139461317458442e-18,3.6032981487719884e-30,1.666327353049229e-43,9.190650021111068e-61,2.458879749876369e-54,4.9992180409636926e-70,4.291153956549897e-52,7.179078468662583e-92,1.409474264561216e-08,5.250363187454951e-45,1.2325338554873237e-47
9,3.083007030059918e-192,0.02404068551010326,5.148771602772959e-43,1.50091970821619e-107,0.0,0.0,1.0016566184624469e-38,5.0588120913224375e-166,5.643424349042302e-123,2.1515984846690648e-72,1.5349560884567345e-91,1.242651803954412e-130,6.224167768782311e-146,1.2432730071431876e-133,1.1704407056672623e-211,1.0552371965931478e-164,1.457885839648062e-84,3.1628490758134823e-107,1.6529709176778468e-115,2.920221472396793e-63,3.3620138217743486e-163,0.0,3.5686012001162794e-151,0.0,6e-323,9.433024125257444e-205,0.9759593127196396,4.196211276878536e-129,8.848531272389464e-10,2.938336079792542e-76,1.5975852352123175e-80,2.4095600071247826e-44,3.557183215720999e-114,5.131847660376474e-151,1.2528146043401485e-135,9.437591694073686e-238,3.56867683273941e-43,1.1232100211165166e-193,2.53916714694543e-126,4.380476563314278e-156,3.6096040579581023e-69,6.489495342715634e-85,3.4043654875933643e-94,5.279861038602546e-246,1.2632827505033958e-120,4.2716398436485725e-84,1.5334892789333963e-53,6.79259231721171e-33,4.120986777778772e-99,3.0401127472050726e-78,2.676753156842878e-166,0.0,1.1622695570539215e-154,2.2232668798462028e-256,2.470691735619503e-46,1.3194372101313844e-153,5.987971865587039e-132,2.7118397306253745e-100,2.3389999203257935e-75,1.0860118213744277e-253,1.9710474202116268e-76,9.735056845934314e-194,2.90861840790572e-128,2.1998403895548123e-138,1.8675794869665266e-112,1.8950882143731563e-21,3.0533865308610655e-119,9.772604222003046e-269,2.994113159895748e-32,8.837927208338445e-10,3.952545942216098e-61,1.2092677352004628e-204,4.2218649255373114e-147,4.0869259295737316e-58,1.0646356054409018e-49,5.738254389258661e-145,1.0894163081903875e-140,1.9926244870588367e-294,6.788244553706042e-49,4.396464630766388e-204,8.738895855519025e-163,8.44126412427709e-100,1.9272412704077162e-231,9.930818582266953e-95,2.2692451071892626e-70,1.1167794365909689e-74,1.158838827135869e-146,3.6799502903296856e-88,1.6074958611140395e-12,3.2351042332359636e-33,5.940641831236442e-92,5.4941512922204686e-195,1.8335615336928197e-159,2.1036895553576372e-275,1.23455519572928e-111,5.414416704974619e-131,2.3024372358057646e-266,3.207356835478473e-166,8.427005170849707e-110
12,0.0,9.069893322594234e-74,4.294606367894972e-84,1.7588986574315298e-95,0.0,0.0,6.795235936082063e-79,1.0047881843249647e-152,4.2871819304914634e-134,4.582835004617322e-142,7.336285294548659e-49,1.7345331249165854e-30,7.974551073055696e-30,1.1454140353587026e-86,1.8262111639179951e-35,5.52437399759943e-74,4.417115385565384e-37,2.435964285499285e-111,2.9256208824573643e-71,9.406230304705731e-31,2.907343383462317e-76,2.0482949146442933e-210,6.511428341170275e-46,6.0203272803197e-113,7.663110581720902e-163,3.541866997438687e-126,1.338661291725298e-47,1.478982376445033e-61,6.713689074692039e-05,4.0896809481709957e-44,7.812055303399526e-36,0.9716785488459911,3.8739968780824115e-84,1.753406534590365e-106,4.178289426669983e-25,0.0,3.5861168047030124e-56,6.491001573112549e-154,2.4160768059911687e-75,1.246697924500144e-119,4.262883049096781e-108,1.6224848333173956e-53,1.2739466056148824e-75,1.5836373350807034e-76,2.5877381110644363e-98,1.918240609096493e-102,4.756318832455143e-56,7.14108881559678e-12,2.8907315888091076e-34,2.759576358475546e-05,9.806113021624171e-40,3.32603293006438e-165,4.793222298258049e-48,1.2331559936227718e-71,3.4779215688250145e-40,2.5324891377660285e-60,4.9078667639851473e-51,3.0348191149658442e-56,1.1364845740517166e-39,1.1163567970337887e-166,8.857708882351822e-32,3.868465139854478e-138,5.246446152740489e-28,4.498036685386048e-122,3.361340947005166e-29,1.5809411021639505e-53,2.3532663026020888e-54,6.741413814469358e-117,1.2593117543875107e-14,0.02817818011713142,1.1532510878409516e-30,5.518655168138889e-165,1.4209224104884194e-87,5.6659950189895024e-11,1.9179649371203163e-29,1.2099397786962726e-119,2.9807857330427364e-118,2.649189572093115e-77,3.647318121877518e-44,2.6109908847591927e-82,3.5053706325158666e-118,1.4540019815624738e-41,7.998509351272266e-124,1.6636907660821333e-50,1.8515516296567968e-54,9.61310880551067e-59,8.462904869383101e-62,9.400381372949045e-26,4.853056505725382e-05,7.753681047107829e-09,1.93168782952028e-60,2.0745221285002556e-45,3.469043449727261e-107,3.04846989238588e-93,4.0801168543883704e-76,1.1914430008691625e-27,2.3943079134147893e-56,4.4285376496927434e-46,8.191466340440221e-166
13,1.3687594058897885e-289,2.439492366637531e-66,1.5233685119498954e-95,6.092431912415301e-123,0.0,0.0,1.0630107476225968e-82,3.986816160684769e-148,1.8097769900760272e-149,7.748285170864743e-101,4.600180587524418e-111,2.9367379392997626e-78,1.3224353800917947e-24,1.2433258283317013e-47,3.056217306080944e-50,1.7978314684112588e-96,3.33215183395723e-83,2.074886399140995e-62,2.9826101635039756e-58,1.0342891032229931e-79,7.5492118696327496e-65,0.0,1.0703795740489194e-76,3.750689203049861e-249,7.3041286358959325e-208,4.195767679389324e-185,8.590046024563192e-63,3.689413867884355e-50,0.7476366314478619,8.062126629829192e-38,6.644359254090065e-39,3.0810597934864436e-11,1.4229856178706924e-119,4.241737372194264e-118,1.2633871399468513e-35,8.696167486491736e-267,4.491545272598643e-58,5.321942609829528e-188,1.1001948593790016e-69,2.2290317810406413e-175,1.7280457601191315e-142,4.129679219478658e-33,3.3026643903686556e-56,2.1200933275065263e-122,1.8464565385007014e-30,1.4948858891019152e-120,1.0540430615784065e-59,2.06981314527604e-31,1.1979262937037393e-51,8.964116343921994e-27,2.1230692574180034e-61,2.380695146447303e-186,8.417036194517404e-59,1.9954512214132676e-73,1.0892510857787393e-34,1.4040933632954903e-34,1.501742915852235e-86,2.0516061032814027e-68,1.4986150374497833e-50,4.81029994088033e-167,2.1516023243900116e-39,1.0229159670681882e-106,1.0957828197654192e-22,7.853908495156882e-95,4.3721586820537736e-31,2.6422015465438018e-67,6.844201500420115e-08,1.3703340919008725e-148,5.432504631295203e-16,3.5477520361549605e-23,8.42080359078605e-66,4.764379488410664e-160,3.3444720254154425e-133,1.4616118454742628e-62,1.942018860626315e-15,4.557372857556278e-126,5.2927068495804064e-129,1.8632635910017477e-100,1.5664209593940897e-67,2.8232219875709684e-105,8.409067946153039e-101,1.6905240938832033e-43,1.4048840934372025e-136,3.6723796065499266e-19,3.202273812825757e-56,3.1089538035942046e-96,2.1573922404113073e-98,2.123717892939719e-59,0.25236319536401086,1.0471530131319503e-07,5.874322595616963e-59,2.7911194708091534e-33,4.108914034485363e-135,2.7078328032667077e-46,1.862890235660972e-55,2.552753138561718e-65,1.0842536553960504e-113,1.0741949793845365e-58,1.2064972195912516e-121
16,0.0,1.3241786806488288e-72,2.8991675673037474e-49,3.413698938619745e-13,0.0,0.0,5.910193609069447e-37,1.0630828989333264e-70,1.3810960470513624e-89,1.1489900443696366e-97,8.065576118339036e-68,4.474553788467655e-80,7.049797506159283e-78,1.7757785931118022e-50,2.0744160265550978e-80,1.324036723106167e-100,2.2456317501273578e-104,9.567768175787744e-103,1.679505425619229e-58,3.043684930207274e-70,2.5112179004438354e-99,1.9055429849161307e-184,2.6416072547408083e-75,2.0204638784821358e-132,5.217521143479924e-151,2.4302742731419746e-132,7.566016791791952e-40,1.5566003506703991e-58,2.8335087724858487e-09,1.6382420623645105e-42,2.924235635798626e-15,8.134836316921933e-35,4.753824739652161e-88,5.404031562251085e-163,2.0717837834606973e-55,1.854986097743597e-308,1.499441733224098e-51,3.8391400168855203e-177,5.2383202794131606e-80,4.850287751803322e-122,4.940253043462517e-132,1.2914960957423093e-40,2.374579039036315e-56,1.9293430287786516e-80,3.4089348748540726e-87,6.398233976987219e-128,2.778842366456071e-59,3.4674343662885657e-39,9.300331099201582e-64,1.2491060753648388e-75,6.157757460760272e-18,1.9056147831530475e-144,3.1930957513976577e-50,2.8410326427207766e-66,1.2670484003566228e-49,2.348955861249912e-53,5.0054603073771714e-55,1.8152787702505562e-77,1.4562351979733473e-59,3.347887891390289e-148,7.962348821862741e-35,9.565176491166561e-151,3.736480197980732e-59,6.824713124209084e-119,1.4694961895825587e-43,9.333320672250302e-35,5.255253751528608e-113,4.367318923629659e-76,0.05249434700102036,1.2880491443015729e-08,8.251648546964015e-19,2.3345529633349776e-158,8.73918743119585e-108,3.72928266838439e-24,1.872795615770945e-40,4.2418348407365645e-95,5.778824814747049e-100,5.413919444378729e-140,7.2526166798203955e-87,1.1901871809198871e-110,1.1732766690103845e-115,5.602163240609669e-47,2.954076615867794e-158,1.3356933581178086e-25,1.776144284682116e-36,2.441993329978706e-70,6.243173002583622e-42,9.831524502545236e-24,0.9466308253524287,0.0008748119322200749,9.775876904683385e-53,1.0538412407367861e-42,2.030623238603358e-51,9.696397724023834e-119,1.1954802926362944e-90,1.4401397465540755e-128,1.8156356836528862e-46,8.317683827003994e-58,1.0310348747754002e-143
19,4.552764331566826e-291,2.8812602537827435e-46,1.3023853279235937e-57,2.923723959812755e-19,0.0,0.0,4.329511321542521e-36,9.851510850687889e-107,2.865413103880829e-51,1.5507855054510173e-114,3.46777181102859e-60,4.44171804321895e-78,1.1525445493865808e-27,1.2849313010395097e-55,5.125796518333648e-54,5.000017179482821e-83,8.464660860201988e-75,7.111043495264788e-93,7.533973195178811e-55,2.0516032317616913e-17,8.819090628864601e-53,1.3413730722782488e-190,8.755766507982052e-31,3.828052850282226e-129,3.7683926863544653e-100,5.281163497852252e-125,1.7680646676622026e-17,1.3576811915492544e-65,0.9999738540496116,1.1629560375003556e-30,2.49286701996586e-35,2.759505641882261e-07,9.096896879672259e-80,7.038874349156506e-126,2.9911013596682743e-43,3.230973807020174e-278,1.3510890475367807e-44,1.3276211256898486e-127,9.618160971712215e-67,5.039720217525108e-112,1.771153060670524e-73,8.771534438295623e-28,7.414126898231112e-51,4.927438870540478e-53,1.0219633330702033e-76,4.6507245942740645e-154,2.0073166091184163e-54,3.192629566081093e-31,6.936490948261735e-36,6.564123975997616e-25,2.0355521827911443e-17,2.0736819376772527e-48,1.4144977827145318e-53,4.9694959594212514e-86,1.935515549760012e-23,7.944795221240843e-19,1.5203913048083655e-21,4.416441083641158e-65,4.499590530236921e-62,3.3999788849457205e-102,1.7719788100401074e-35,3.4791816342217044e-110,9.184049639413262e-65,2.8044458764320933e-67,2.855350422725887e-25,3.1816620066986525e-24,2.645616171740806e-95,5.517043479736114e-37,7.212421627940036e-17,2.5860014695880726e-05,3.4000316395828606e-11,1.9939707607124676e-120,1.1310606169048571e-66,2.7782856140534906e-20,6.712445515730357e-32,1.4276854170883542e-102,4.772891093961377e-39,8.444106838111618e-103,7.86321469598525e-39,5.087724866020452e-121,6.804304784205151e-76,4.3755614024905645e-27,1.3739561315456823e-80,1.5675595693783392e-12,2.6764584735756583e-29,3.859363085857349e-40,2.5778181942901686e-30,4.850157637056504e-14,9.910669170939764e-09,1.1696592696743534e-21,1.31523992841669e-39,2.5469282518928886e-37,1.4242011881500624e-75,9.8162869446094e-70,2.0761631513246344e-61,4.439150430246355e-74,3.884984958115925e-11,9.743199041889996e-67,1.3661465926593387e-136
23,0.0,1.4969994384125254e-180,1.52597467371017e-74,5.605544020155869e-156,0.0,1.969539974832664e-222,8.148817720606662e-96,6.2044457146853125e-279,0.0,1.5643471009154147e-119,1.0704444493964962e-190,1.0878027101390014e-235,6.591731292266684e-221,9.804145196849525e-240,7.585186760224795e-253,6.1673463550009895e-208,3.7615972762517305e-256,0.0,1.9398090075371606e-185,3.034301179731825e-180,4.364806596300127e-255,0.0,8.97901026444242e-130,9.238777781671503e-295,6.992809831752404e-242,3.950298266433776e-262,4.219177931592407e-102,5.470988425203586e-189,1.0,8.222164194870007e-77,1.6102678348503544e-165,1.7374316866203623e-110,1.3215612097188442e-166,8.575701686528715e-283,1.0549837748224156e-173,4.2929254911529176e-221,1.4397932822860777e-111,3.4277648752483413e-274,1.6383232269271808e-143,5.510305037118429e-202,4.961420769150796e-159,1.7137874634884865e-250,1.9656417476288365e-198,1.1483329660361476e-188,7.879934673735675e-236,1.616435718143427e-216,3.720132071884086e-165,2.4431473257357096e-124,9.631092742909486e-184,8.852866552831013e-124,1.9431441970009905e-96,4.760863822189782e-247,5.067934040675525e-199,0.0,1.0348631930769263e-169,1.3751261829604343e-105,1.3915108363212019e-119,3.230846894916128e-130,2.475900561620338e-204,9.426856046794468e-208,2.4317746637826043e-156,2.8898669930999172e-151,3.788646479679467e-138,2.49990019601331e-122,2.0322758721547353e-144,4.519999278149006e-101,3.82271566749486e-160,7.915093099121653e-185,3.9301291726280835e-82,4.551146353568756e-83,7.787819240600627e-65,1.486951797565727e-203,1.188952915644727e-171,1.071091795704852e-127,3.7611723678349185e-171,3.8375960711091493e-191,9.91098543325376e-191,1.3113230444820942e-278,2.726668007618059e-164,2.542416552666269e-275,1.3902448292170918e-125,2.8750099890128723e-108,5.490174406832068e-227,1.0880959858035578e-192,3.1928024132509647e-155,3.094715920975254e-163,3.339068060043907e-117,3.8644164120732054e-84,1.2639939817406232e-56,1.316584660463912e-74,1.3624540547493701e-140,1.6365267205616558e-209,4.869713952289755e-187,2.5e-323,2.5e-323,1.4147522995699442e-257,2.684333025692444e-117,1.8492e-319,1.1426967057905819e-207
24,3.901347997563418e-291,3.115938036669874e-74,9.467978415215023e-81,1.4047841600519777e-97,0.0,0.0,1.5994800040381032e-74,3.9533288278232424e-203,8.662135654446326e-194,1.9393055997997402e-122,2.251181640081205e-45,4.47366939799842e-73,5.71699276047075e-64,4.9580087084275455e-70,3.822101899568132e-97,7.458193683601619e-88,1.8829533110679894e-77,2.74923116118828e-186,4.8929927834660875e-76,1.974838269925615e-70,5.686339347455971e-85,4.347844417097308e-178,5.960929022761419e-61,1.253447136755959e-217,5.599021267326204e-189,3.380982393541853e-141,3.928758225730921e-13,1.6773920881016579e-53,9.04089479125782e-05,2.181315387936799e-33,2.0435321636897465e-19,0.9999095907641107,1.0236242156271935e-45,5.637728907148596e-40,3.1829291275653154e-43,0.0,5.960771921806351e-65,5.891123647859752e-151,6.441921082125475e-72,3.0256937317260454e-137,1.1019587088738185e-84,7.679580742551334e-60,1.9747740366925702e-75,1.0506154594124272e-100,5.179919668772532e-81,5.32417857592137e-51,4.659006124176158e-35,8.885617962832819e-11,2.886348350238564e-26,1.9872336261543636e-10,6.925494195557193e-41,1.8552665183598213e-168,6.472792526021559e-73,1.6113918752499886e-161,1.550970310148346e-72,3.1730148005932133e-99,5.287843305634942e-85,5.631469325714892e-66,9.19656045096633e-114,8.103042767485039e-203,4.50626429070625e-28,2.9345951661650055e-223,1.16265164957995e-73,2.1775546856768616e-226,3.45362649402485e-30,3.6689121400755035e-58,1.2162084391600915e-71,9.457000372556623e-127,1.0115484498359198e-38,1.5947709588836853e-35,8.977481997072131e-85,8.633092941064951e-185,1.8249251963286494e-96,1.0955917023657155e-73,3.079372024546166e-21,8.701097310120434e-146,3.695506927974738e-146,1.4893456866679456e-184,9.234065793362798e-60,3.78138229801328e-67,8.48147014932535e-151,3.2636900743641616e-42,4.249757869853772e-187,1.4773286407196602e-43,9.10857407423061e-57,9.744958712870063e-77,6.390753099346826e-91,4.509263908354448e-47,1.4382780721061016e-24,1.8731435348397287e-58,1.8224692115802015e-76,3.6716293584618275e-102,2.4932075840622033e-73,1.1082573972843393e-189,4.1597726798309183e-72,1.8886759466861794e-99,1.11988013689354e-109,5.261846217565602e-103,5.8778455872110045e-105
28,1.546542468200984e-236,1.5599576229033353e-20,9.518333055827502e-48,2.7182686470102763e-83,0.0,0.0,4.3075681887392935e-55,3.736626200007541e-119,2.6665806348092387e-88,4.379302355694673e-155,1.2666822354333484e-59,4.774621263765631e-60,1.3434043144466583e-52,4.9949238399797375e-76,1.7884399387010392e-82,9.795450772350732e-115,1.1729165878060483e-40,1.2467970748917094e-107,2.20414157639963e-81,1.2798658781331743e-36,2.2606202170839626e-104,0.0,9.842078498979866e-97,2.741085162422691e-268,1.0617216813777667e-274,8.264025837609169e-165,0.9999999757514789,1.4010307104364846e-78,2.4239119263026608e-08,6.192580413137344e-101,1.0972029317886375e-27,3.8518395995979874e-12,1.4687356142157696e-76,1.4347337473522497e-79,1.7399969302154788e-61,1.3380493905288674e-197,2.3649439587150855e-40,1.238049232625186e-230,1.2932423983471008e-88,2.3324354466699254e-178,1.2034501830303235e-86,8.472306655208384e-35,2.77126057147353e-55,3.408928351039221e-141,3.606333636382372e-114,2.4121356920702803e-118,7.3108620948790645e-37,1.5752523316421887e-40,2.806087078272352e-69,2.429429939161089e-62,6.782549836273934e-61,3.0240016619824705e-235,1.0463925703828459e-87,1.0932105315969794e-143,2.4421963169030033e-50,4.642626234798846e-95,1.6839242525091032e-77,3.5243055955303416e-107,4.522227714242316e-47,1.5065235555637416e-250,2.9122037658091823e-43,1.3246574992079261e-211,3.7905644288278898e-75,9.510136198422438e-176,2.863321886994243e-65,4.9517002626416105e-62,9.188553892730396e-78,2.103348315985123e-182,5.54912097369863e-12,3.039681527515215e-36,6.617518604890642e-58,8.899223579031835e-179,1.7291466948234748e-110,1.2071346891036782e-55,5.7412494571726885e-39,8.700513554491835e-136,2.7070620923597408e-132,1.7523240680277097e-127,1.8077770843611473e-68,1.2636156329288915e-154,2.165274640042676e-147,4.4013081683418805e-51,9.592513191772902e-180,8.015667135342483e-34,3.3397463819069905e-51,2.2884721023112506e-70,3.473165802115609e-79,2.5483391360171402e-64,8.789434714280751e-30,5.320507435863149e-23,1.0745235452508329e-80,2.92003426952816e-90,6.5447841433040815e-146,9.451955324284747e-128,4.656578999649663e-74,8.970969225594492e-57,4.704523573030635e-118,1.5090784853554635e-140,8.463163851188666e-103
